title,url,language,genre,censor_rating,votes_or_rating,city
Mandaadi,https://in.bookmyshow.com/movies/bengaluru/mandaadi/ET00442702,"Tamil, Telugu, Malayalam, Kannada, Hindi","Action, Drama, Sports",,,bengaluru
Sardar 2,https://in.bookmyshow.com/movies/bengaluru/sardar-2/ET00440190,"Tamil, Telugu, Hindi","Action, Thriller",A,,bengaluru
Immortal,https://in.bookmyshow.com/movies/bengaluru/immortal/ET00513702,Tamil,"Fantasy, Horror, Thriller",A,,bengaluru
Enna Vilai,https://in.bookmyshow.com/movies/bengaluru/enna-vilai/ET00515665,Tamil,"Drama, Social, Thriller",A,,bengaluru
Hi (2026),https://in.bookmyshow.com/movies/bengaluru/hi-2026/ET00509196,"Tamil, Telugu","Comedy, Drama, Family, Romantic",A,,bengaluru
Vishwanath and Sons,https://in.bookmyshow.com/movies/bengaluru/vishwanath-and-sons/ET00489815,"Tamil, Telugu","Drama, Family, Romantic",A,,bengaluru
Sandakari,https://in.bookmyshow.com/movies/bengaluru/sandakari/ET00517571,Tamil,"Comedy, Drama, Family, Romantic",U,,bengaluru
Hanuman Ansh,https://in.bookmyshow.com/movies/bengaluru/hanuman-ansh/ET00507738,Hindi,"Biography, Devotional, Drama",U,,bengaluru
Avengers Endgame: Encore,https://in.bookmyshow.com/movies/bengaluru/avengers-endgame-encore/ET00514163,"English, Hindi, Tamil, Telugu","Action, Adventure, Fantasy",A,,bengaluru
Toxic: A Fairy Tale for Grown-ups,https://in.bookmyshow.com/movies/bengaluru/toxic-a-fairy-tale-for-grownups/ET00378770,"Kannada, Telugu, Tamil, Malayalam, Hindi, English","Action, Crime, Period, Thriller",A,,bengaluru
Citylights,https://in.bookmyshow.com/movies/bengaluru/citylights/ET00510578,Kannada,"Drama, Romantic",A,,bengaluru
Video,https://in.bookmyshow.com/movies/bengaluru/video/ET00514378,Kannada,"Horror, Thriller",A,,bengaluru
Mirzapur: The Movie,https://in.bookmyshow.com/movies/bengaluru/mirzapur-the-movie/ET00417686,"Hindi, Telugu","Action, Crime, Thriller",A,,bengaluru
Irumudi,https://in.bookmyshow.com/movies/bengaluru/irumudi/ET00487933,"Telugu, Tamil","Action, Drama, Family",A,,bengaluru
The Odyssey,https://in.bookmyshow.com/movies/bengaluru/the-odyssey/ET00452034,"English, Hindi, Tamil, Telugu","Action, Adventure, Drama, Fantasy",A,,bengaluru
Bethlehem Kudumba Unit,https://in.bookmyshow.com/movies/bengaluru/bethlehem-kudumba-unit/ET00502829,"Malayalam, Tamil, Telugu","Comedy, Drama, Romantic",,,bengaluru
