title,url,language,genre,censor_rating,votes_or_rating,city
Mandaadi,https://in.bookmyshow.com/movies/hyderabad/mandaadi/ET00442702,"Tamil, Telugu, Malayalam, Kannada, Hindi","Action, Drama, Sports",,,hyderabad
Hanuman Ansh,https://in.bookmyshow.com/movies/hyderabad/hanuman-ansh/ET00507738,Hindi,"Biography, Devotional, Drama",U,,hyderabad
Irumudi,https://in.bookmyshow.com/movies/hyderabad/irumudi/ET00487933,"Telugu, Tamil","Action, Drama, Family",,,hyderabad
Mahendragiri Varahi,https://in.bookmyshow.com/movies/hyderabad/mahendragiri-varahi/ET00434922,"Telugu, Hindi, Tamil","Action, Adventure, Mythological, Thriller",,,hyderabad
Mirzapur: The Movie,https://in.bookmyshow.com/movies/hyderabad/mirzapur-the-movie/ET00417686,"Hindi, Telugu","Action, Crime, Thriller",A,,hyderabad
Epic,https://in.bookmyshow.com/movies/hyderabad/epic/ET00515338,Telugu,"Drama, Romantic",A,,hyderabad
Sardar 2,https://in.bookmyshow.com/movies/hyderabad/sardar-2/ET00440190,"Tamil, Telugu, Hindi","Action, Thriller",A,,hyderabad
Avengers Endgame: Encore,https://in.bookmyshow.com/movies/hyderabad/avengers-endgame-encore/ET00514163,"English, Hindi, Tamil, Telugu","Action, Adventure, Fantasy",,,hyderabad
Bethlehem Kudumba Unit,https://in.bookmyshow.com/movies/hyderabad/bethlehem-kudumba-unit/ET00502829,"Malayalam, Tamil, Telugu","Comedy, Drama, Romantic",,,hyderabad
Haiwaan,https://in.bookmyshow.com/movies/hyderabad/haiwaan/ET00506432,Hindi,"Action, Crime, Thriller",,,hyderabad
Drohi,https://in.bookmyshow.com/movies/hyderabad/drohi/ET00311399,Telugu,"Horror, Thriller",A,,hyderabad
Immortal (Telugu),https://in.bookmyshow.com/movies/hyderabad/immortal-telugu/ET00517645,Telugu,Drama,A,,hyderabad
VIBE,https://in.bookmyshow.com/movies/hyderabad/vibe/ET00506465,Hindi,"Action, Comedy",A,,hyderabad
Daayra,https://in.bookmyshow.com/movies/hyderabad/daayra/ET00464392,"Hindi, Malayalam","Crime, Drama, Thriller",A,,hyderabad
Romanchakam,https://in.bookmyshow.com/movies/hyderabad/romanchakam/ET00514473,Telugu,"Comedy, Romantic",A,,hyderabad
Secret Soldier,https://in.bookmyshow.com/movies/hyderabad/secret-soldier/ET00464932,Telugu,"Action, Thriller",,,hyderabad
