title,url,language,genre,censor_rating,votes_or_rating,city
Hanuman Ansh,https://in.bookmyshow.com/movies/mumbai/hanuman-ansh/ET00507738,,,,,mumbai
Mirzapur: The Movie,https://in.bookmyshow.com/movies/mumbai/mirzapur-the-movie/ET00417686,,,,,mumbai
VIBE,https://in.bookmyshow.com/movies/mumbai/vibe/ET00506465,,,,,mumbai
Haiwaan,https://in.bookmyshow.com/movies/mumbai/haiwaan/ET00506432,,,,,mumbai
Spider-Man: Brand New Day,https://in.bookmyshow.com/movies/mumbai/spiderman-brand-new-day/ET00447840,,,,,mumbai
Insidious: Out of The Further,https://in.bookmyshow.com/movies/mumbai/insidious-out-of-the-further/ET00493836,,,,,mumbai
Last Man in Tower,https://in.bookmyshow.com/movies/mumbai/last-man-in-tower/ET00515521,,,,,mumbai
Mahaprabhu Jagannath,https://in.bookmyshow.com/movies/mumbai/mahaprabhu-jagannath/ET00500543,,,,,mumbai
Toxic: A Fairy Tale for Grown-ups,https://in.bookmyshow.com/movies/mumbai/toxic-a-fairy-tale-for-grownups/ET00378770,,,,,mumbai
Marham: Poetry & Music - Live on Stage,https://in.bookmyshow.com/movies/mumbai/marham-poetry-music-live-on-stage/ET00512660,,,,,mumbai
Awarapan 2,https://in.bookmyshow.com/movies/mumbai/awarapan-2/ET00439318,,,,,mumbai
Dulhaniya Le Aaeegi,https://in.bookmyshow.com/movies/mumbai/dulhaniya-le-aaeegi/ET00493378,,,,,mumbai
Aasha,https://in.bookmyshow.com/movies/mumbai/aasha/ET00516253,,,,,mumbai
Avengers Endgame: Encore,https://in.bookmyshow.com/movies/mumbai/avengers-endgame-encore/ET00514163,,,,,mumbai
NCT 127 5th Tour 'Neo City: Seoul - The Redline',https://in.bookmyshow.com/movies/mumbai/nct-127-5th-tour-neo-city-seoul-the-redline/ET00515685,,,,,mumbai
The Odyssey,https://in.bookmyshow.com/movies/mumbai/the-odyssey/ET00452034,,,,,mumbai
